time in seconds,driver,fast or slow
104.92,Hubert Szymański,fast
104.69,Hubert Szymański,fast
104.34,Hubert Szymański,fast
104.23,Hubert Szymański,fast
104.78,Hubert Szymański,fast
104.57,Hubert Szymański,fast
104.33,Hubert Szymański,fast
104.4,Hubert Szymański,fast
104.53,Hubert Szymański,fast
104.37,Hubert Szymański,fast
104.44,Hubert Szymański,fast
104.29,Hubert Szymański,fast
104.2,Hubert Szymański,fast
104.48,Hubert Szymański,fast
104.54,Hubert Szymański,fast
104.39,Hubert Szymański,fast
104.33,Hubert Szymański,fast
104.35,Hubert Szymański,fast
104.45,Hubert Szymański,fast
104.44,Hubert Szymański,fast
104.88,Hubert Szymański,fast
104.81,Hubert Szymański,fast
104.4,Hubert Szymański,fast
105.29,Hubert Szymański,fast












105.38,Luca Ziege,slow
105.42,Luca Ziege,slow
105.14,Luca Ziege,slow

104.98,Luca Ziege,slow
104.78,Luca Ziege,slow
104.69,Luca Ziege,slow
104.71,Luca Ziege,slow
105.01,Luca Ziege,slow
104.93,Luca Ziege,slow
104.47,Luca Ziege,slow
105.41,Luca Ziege,slow
105.21,Luca Ziege,slow
105.25,Luca Ziege,slow
104.58,Luca Ziege,slow
104.92,Luca Ziege,slow
104.66,Luca Ziege,slow
105.12,Luca Ziege,slow
105.45,Luca Ziege,slow
104.87,Luca Ziege,slow
105.36,Luca Ziege,slow

105.77,Luca Ziege,slow
105.48,Luca Ziege,slow

105.3,Luca Ziege,slow
105.32,Luca Ziege,slow

105.39,Luca Ziege,slow
105.15,Luca Ziege,slow
105.34,Luca Ziege,slow
105.8,Luca Ziege,slow
105.55,Luca Ziege,slow
105.07,Luca Ziege,slow


104.59,Alessio Melis,slow
105.17,Alessio Melis,slow
105.08,Alessio Melis,slow
104.91,Alessio Melis,slow
105.66,Alessio Melis,slow
105.55,Alessio Melis,slow
105.12,Alessio Melis,slow

105.66,Alessio Melis,slow
104.54,Alessio Melis,slow
104.88,Alessio Melis,slow
104.98,Alessio Melis,slow
105.84,Alessio Melis,slow
105.45,Alessio Melis,slow
105.15,Alessio Melis,slow
105.76,Alessio Melis,slow
104.5,Alessio Melis,slow
105.68,Alessio Melis,slow
105.23,Alessio Melis,slow
105.09,Alessio Melis,slow
105.75,Alessio Melis,slow
104.92,Alessio Melis,slow
105.24,Alessio Melis,slow
104.94,Alessio Melis,slow
105.25,Alessio Melis,slow

105.84,Alessio Melis,slow
105.44,Alessio Melis,slow
105.32,Alessio Melis,slow
105.53,Alessio Melis,slow
105.57,Alessio Melis,slow
105.32,Alessio Melis,slow
105.19,Alessio Melis,slow

105.33,Alessio Melis,slow


104.12,Max Goprov,fast
103.39,Max Goprov,fast
103.68,Max Goprov,fast
103.9,Max Goprov,fast
103.83,Max Goprov,fast
103.81,Max Goprov,fast
103.68,Max Goprov,fast
103.62,Max Goprov,fast
103.81,Max Goprov,fast
104.18,Max Goprov,fast
103.73,Max Goprov,fast
103.88,Max Goprov,fast

104.95,Max Goprov,fast
103.9,Max Goprov,fast
104.01,Max Goprov,fast
104.6,Max Goprov,fast
103.79,Max Goprov,fast
103.82,Max Goprov,fast
103.76,Max Goprov,fast
104.32,Max Goprov,fast
103.86,Max Goprov,fast
103.89,Max Goprov,fast
103.5,Max Goprov,fast
103.9,Max Goprov,fast
103.96,Max Goprov,fast
104.79,Max Goprov,fast
104.15,Max Goprov,fast
104.05,Max Goprov,fast
104.11,Max Goprov,fast
103.74,Max Goprov,fast
104.29,Max Goprov,fast
104.15,Max Goprov,fast
104.82,Max Goprov,fast


104.71,Hubert Szymański,fast
104.72,Hubert Szymański,fast
104.89,Hubert Szymański,fast
105.25,Hubert Szymański,fast
104.68,Hubert Szymański,fast
104.63,Hubert Szymański,fast
104.55,Hubert Szymański,fast
104.14,Hubert Szymański,fast
104.8,Hubert Szymański,fast
104.3,Hubert Szymański,fast
104.65,Hubert Szymański,fast
104.39,Hubert Szymański,fast
104.36,Hubert Szymański,fast
104.86,Hubert Szymański,fast
104.28,Hubert Szymański,fast
104.3,Hubert Szymański,fast
104.89,Hubert Szymański,fast
105.24,Hubert Szymański,fast
104.58,Hubert Szymański,fast
104.35,Hubert Szymański,fast
104.73,Hubert Szymański,fast
104.76,Hubert Szymański,fast
105.4,Hubert Szymański,fast
104.88,Hubert Szymański,fast
104.47,Hubert Szymański,fast
104.89,Hubert Szymański,fast
104.71,Hubert Szymański,fast
104.51,Hubert Szymański,fast
104.76,Hubert Szymański,fast
104.53,Hubert Szymański,fast
104.56,Hubert Szymański,fast
104.76,Hubert Szymański,fast
104.99,Hubert Szymański,fast
104.93,Hubert Szymański,fast
105.02,Hubert Szymański,fast


104,Max Goprov,fast
104,Max Goprov,fast
104.03,Max Goprov,fast
104.31,Max Goprov,fast
104.5,Max Goprov,fast
103.88,Max Goprov,fast
103.79,Max Goprov,fast
104.41,Max Goprov,fast
104.5,Max Goprov,fast
103.7,Max Goprov,fast
103.86,Max Goprov,fast
103.75,Max Goprov,fast
104.67,Max Goprov,fast
104.05,Max Goprov,fast
104.07,Max Goprov,fast
104.23,Max Goprov,fast
104.21,Max Goprov,fast
104.17,Max Goprov,fast
104.04,Max Goprov,fast
103.83,Max Goprov,fast
103.98,Max Goprov,fast
105.17,Max Goprov,fast
104.42,Max Goprov,fast
104.56,Max Goprov,fast
104.41,Max Goprov,fast
104.83,Max Goprov,fast
104.54,Max Goprov,fast
104.04,Max Goprov,fast
104.21,Max Goprov,fast
104.29,Max Goprov,fast
104.52,Max Goprov,fast
104.12,Max Goprov,fast
104.75,Max Goprov,fast
104.65,Max Goprov,fast
104.92,Max Goprov,fast


105.02,Hubert Szymański,fast
104.42,Hubert Szymański,fast
104.55,Hubert Szymański,fast
103.9,Hubert Szymański,fast
104.06,Hubert Szymański,fast
103.84,Hubert Szymański,fast
104.24,Hubert Szymański,fast
104.15,Hubert Szymański,fast
103.83,Hubert Szymański,fast
104.59,Hubert Szymański,fast
104.09,Hubert Szymański,fast
104.09,Hubert Szymański,fast
104.36,Hubert Szymański,fast
104.04,Hubert Szymański,fast
104.32,Hubert Szymański,fast
104.08,Hubert Szymański,fast
104.75,Hubert Szymański,fast












104.28,Hubert Szymański,fast
104.02,Hubert Szymański,fast
103.77,Hubert Szymański,fast
103.65,Hubert Szymański,fast
103.78,Hubert Szymański,fast
103.97,Hubert Szymański,fast
103.94,Hubert Szymański,fast
103.79,Hubert Szymański,fast
103.98,Hubert Szymański,fast
104.05,Hubert Szymański,fast
104.82,Hubert Szymański,fast
103.82,Hubert Szymański,fast
103.6,Hubert Szymański,fast
104.43,Hubert Szymański,fast
103.99,Hubert Szymański,fast
104.55,Hubert Szymański,fast
103.98,Hubert Szymański,fast
104.33,Hubert Szymański,fast
104.56,Hubert Szymański,fast
104.39,Hubert Szymański,fast
105.2,Hubert Szymański,fast